iter	MultiClass
0	1.195192167
1	0.9565517513
2	0.7504673081
3	0.6505152186
4	0.5517339555
5	0.4723816983
6	0.4051427813
7	0.3469694775
8	0.309544391
9	0.2836145265
10	0.2416644164
11	0.2154251979
12	0.2009573753
13	0.1835836567
14	0.1698996238
15	0.1632943746
16	0.1509412358
17	0.1427599852
18	0.136631949
19	0.1335390478
20	0.127481796
21	0.1248142647
22	0.1235934469
23	0.1188876363
24	0.1158055002
25	0.1126402989
26	0.1107955134
27	0.109756269
28	0.1085342714
29	0.1048230554
30	0.1045907286
31	0.1037304278
32	0.1016556011
33	0.1011320424
34	0.1000671469
35	0.09632154631
36	0.09620417857
37	0.09602992115
38	0.09474212851
39	0.09420015271
40	0.09115563719
41	0.09094316931
42	0.08619305297
43	0.08303149742
44	0.08190100343
45	0.08171071302
46	0.08050109454
47	0.08025999338
48	0.07999388829
49	0.07972975763
50	0.07760575877
51	0.07744100481
52	0.07574090945
53	0.07508522802
54	0.07394468167
55	0.07324905293
56	0.07160762505
57	0.07148881541
58	0.07081904264
59	0.06942030529
60	0.06911211462
61	0.0689516536
62	0.06752467623
63	0.06631172743
64	0.06510176895
65	0.0645334784
66	0.06373173861
67	0.06227849973
68	0.06169864527
69	0.06142373309
70	0.06088828272
71	0.06032131118
72	0.06020186661
73	0.05926908147
74	0.05850840319
75	0.05842122532
76	0.05803368895
77	0.05730900092
78	0.05588167536
79	0.05539335724
80	0.05521061225
81	0.05484627743
82	0.05362031053
83	0.05334886384
84	0.05294919827
85	0.05243907954
86	0.05218690194
87	0.05190645973
88	0.0504340255
89	0.05016765006
90	0.04985579727
91	0.04934968884
92	0.04893405172
93	0.04869175444
94	0.04866917553
95	0.04843529208
96	0.04837307719
97	0.04762307801
98	0.04754824235
99	0.04676436661
100	0.04611036057
101	0.04586847292
102	0.04474616748
103	0.04430683725
104	0.04350981642
105	0.04287485007
106	0.04223050726
107	0.04182819955
108	0.0416911449
109	0.04167465722
110	0.04153396504
111	0.04108692963
112	0.04058984948
113	0.03966620733
114	0.03935527622
115	0.03914855957
116	0.03860258576
117	0.03845611777
118	0.03838070044
119	0.0381827581
120	0.03760407109
121	0.03727824986
122	0.03674865723
123	0.03672147815
124	0.03631976032
125	0.03612227677
126	0.03546154867
127	0.03530063296
128	0.03445808564
129	0.03442710518
130	0.03425545507
131	0.03411004188
132	0.0339582753
133	0.03385082475
134	0.03384110624
135	0.0336680388
136	0.03365764848
137	0.03322327889
138	0.03255539043
139	0.03217660379
140	0.03215631063
141	0.03175640951
142	0.03148216299
143	0.03147512961
144	0.03133611692
145	0.03123471868
146	0.03105821648
147	0.03063375179
148	0.03034351733
149	0.03018690071
